cid,course_code,serial_no,course_name,department,reg_sel,credits,restrict,time,location,instructor,year,term,quota,authorize_quota,interschool_quota,english,dept_code,note
1,01UG004,0920,音樂鑑賞,通識,通,2,◎音樂系不得選修,四 3-4,本部 誠101,未定,110,1,120,10,3,"",GU,◎數位課程 李娓娓
2,01UG004,0921,音樂鑑賞,通識,通,2,◎音樂系不得選修,二 3-4,本部 音409,未定,110,1,50,10,2,"",GU,陳惠齡
3,01UG005,0922,歌劇大師經典作品賞析,通識,通,2,◎音樂系不得選修,四 6-7,本部 音308,王望舒,110,1,50,10,0,"",GU,""
4,01UG008,0923,旅行文學,通識,通,2,◎國文系不得選修,二 3-4,本部 誠109,陳室如,110,1,50,10,0,"",GU,""
5,01UG011,0924,亞裔美國文學與電影的藝術形式,通識,通,2,"",一 8-9,本部 誠203,左乙萱,110,1,55,22,0,"",GU,建議英語閱讀能力中高級者選修。第一週上課發放授權碼，若人數超過，攜以下影本或電子版優先，依次為1.平均成績達85分。大一則任何考試成績或成就特優。2.其他優異表現或指考英文達前標。3.平均成績達80分(1)大四，(2)研究所或就業與此領域相關。第一週後仍有授權碼上課索取或附原因e-mail索取。
6,01UG011,0925,亞裔美國文學與電影的藝術形式,通識,通,2,"",一 10-A,本部 誠203,左乙萱,110,1,55,22,0,是,GU,建議英語閱讀能力中高級者選修。全英語授課。第一週上課發放授權碼，若人數超過，攜以下影本或電子版優先，依次為1.平均成績達85分。大一則任何考試成績或成就特優。2.其他優異表現或指考英文達前標。3.平均成績達80分(1)大四，(2)研究所或就業與此領域相關。第一週後仍有授權碼上課索取或附原因e-mail索取。
7,01UG012,0926,舞蹈鑑賞,通識,通,3,"",二 6-8,本部 誠102,王宏豪,110,1,50,10,5,"",GU,""
8,01UG016,0927,戲劇鑑賞,通識,通,2,"",三 3-4,本部 樸301,未定,110,1,50,10,0,"",GU,馮翊綱
9,01UG018,0928,民間文學與說唱藝術,通識,通,2,◎國文系不得選修,三 3-4,本部 誠202,蔡孟珍,110,1,85,12,0,"",GU,""
10,01UG021,0929,文學與電影,通識,通,3,"",四 2-4,本部 誠102,蘇榕,110,1,70,0,0,是,GU,""
11,01UG025,0930,認識臺灣的聲音,通識,通,2,"",三 3-4,本部 教201演講廳,未定,110,1,70,20,0,"",GU,許瑞坤
12,01UG027,0931,日本美術鑑賞,通識,通,2,"",四 3-4,本部 誠109,蔡家丘,110,1,50,10,3,"",GU,""
13,01UG032,0932,古典小說與人生,通識,通,2,◎國文系不得選修,二 3-4,本部 誠208,李志宏,110,1,50,10,0,"",GU,""
14,01UG033,0933,音樂與戲劇,通識,通,2,◎音樂系不得選修,五 3-4,本部 音308,王望舒,110,1,50,20,2,"",GU,""
15,02UG001,0934,哲學入門,通識,通,2,◎公領系不得選修,一 3-4,本部 誠301,未定,110,1,70,25,0,"",GU,傅皓政
16,02UG001,0935,哲學入門,通識,通,2,◎公領系不得選修,五 8-9,公館 理圖001,未定,110,1,60,5,0,"",GU,王鍾山
17,02UG002,0936,思考方法,通識,通,2,"",四 6-7,公館 Ｂ101,未定,110,1,50,20,0,"",GU,紀金慶
18,02UG004,0937,多元視野的道德判斷,通識,通,2,◎公領系不得選修,三 8-9,本部 誠402,李琪明,110,1,60,0,0,"",GU,本課程不開放加簽
19,02UG005,0938,道德推理,通識,通,2,"",一 8-9,本部 教201演講廳,洪仁進 林逢祺,110,1,100,10,0,"",GU,""
20,02UG010,0940,人生哲學與批判性思考,通識,通,2,"",三 3-4,本部 誠108,未定,110,1,65,0,0,"",GU,鄭鈞瑋
21,02UG010,0941,人生哲學與批判性思考,通識,通,2,"",三 6-7,本部 誠108,未定,110,1,65,0,0,"",GU,鄭鈞瑋
22,02UG010,0942,人生哲學與批判性思考,通識,通,2,"",四 3-4,公館 Ｂ102,未定,110,1,50,20,0,"",GU,紀金慶
23,02UG011,0943,從精神分析看生命潛則,通識,通,2,"",二 6-7,本部 誠304,李秀娟,110,1,50,10,0,"",GU,""
24,02UG015,0944,生物哲學導論,通識,通,2,"",四 3-4,公館 理圖002,林陳涌,110,1,50,10,0,"",GU,""
25,02UG019,0945,佛學中的人生智慧,通識,通,2,"",三 8-9,公館 Ｅ101,未定,110,1,70,10,0,"",GU,釋見見
26,03UG005,0946,現代公民與法律,通識,通,2,◎公領系不得選修,四 A-B,本部 誠104,未定,110,1,50,4,0,"",GU,陳彥?
27,03UG006,0947,憲法與人權,通識,通,2,◎公領系不得選修,四 6-7,本部 教201演講廳,呂啟民,110,1,102,10,0,"",GU,""
28,03UG012,0948,臺灣流行文化,通識,通,2,"",三 6-7,本部 誠101,莊佳穎,110,1,120,13,3,"",GU,""
29,03UG024,0949,環境與傳播,通識,通,2,"",一 3-4,本部 誠201,未定,110,1,70,20,0,"",GU,楊樺
30,03UG027,0950,女性文學、性別平等理論與婦運,通識,通,2,"",二 8-9,本部 誠203,左乙萱,110,1,55,22,0,"",GU,建議英語閱讀能力中高級者選修。第一週上課發放授權碼，若人數超過，攜以下影本或電子版優先，依次為1.平均成績達85分。大一則任何考試成績或成就特優。2.其他優異表現或指考英文達前標。3.平均成績達80分(1)大四，(2)研究所或就業與此領域相關。第一週後仍有授權碼上課索取或附原因e-mail索取。
31,03UG027,0951,女性文學、性別平等理論與婦運,通識,通,2,"",二 10-A,本部 誠203,左乙萱,110,1,55,22,0,是,GU,建議英語閱讀能力中高級者選修。全英語授課。第一週上課發放授權碼，若人數超過，攜以下影本或電子版優先，依次為1.平均成績達85分。大一則任何考試成績或成就特優。2.其他優異表現或指考英文達前標。3.平均成績達80分(1)大四，(2)研究所或就業與此領域相關。第一週後仍有授權碼上課索取或附原因e-mail索取。
32,03UG031,0952,鑑識科學概論,通識,通,2,"",四 3-4,本部 綜210展覽廳,未定,110,1,115,0,0,"",GU,姜雲生。原則上不提供授權碼。急需授權碼者(限大四或延畢同學)須於開學首次上課時親洽任課教師，且須俟加選截止前5日始能取得授權碼。
33,03UG038,0953,環境、地理與心理,通識,通,2,"",一 6-7,公館 理圖001,未定,110,1,50,10,0,"",GU,楊樺
34,03UG041,0954,管理學入門,通識,通,2,◎企管系不得選修,四 3-4,本部 正202,未定,110,1,50,5,0,"",GU,孔令玉
35,03UG041,0955,管理學入門,通識,通,2,◎企管系不得選修,四 6-7,本部 正202,未定,110,1,50,5,0,"",GU,孔令玉
36,03UG041,0956,管理學入門,通識,通,2,◎企管系不得選修,五 A-B,公館 理圖001,未定,110,1,70,0,0,"",GU,施友元
37,03UG042,0957,科技產業營業秘密保護與智慧財產權,通識,通,2,"",五 8-9,本部 正301,劉傳璽 未定,110,1,50,5,0,"",GU,劉傳璽、陳建宇合授
38,04UG003,0958,文明的探索,通識,通,2,"",一 8-9,本部 誠109,陳健文,110,1,50,10,0,"",GU,""
39,04UG003,0959,文明的探索,通識,通,2,"",三 3-4,本部 誠306,石蘭梅,110,1,50,10,0,"",GU,""
40,04UG003,0960,文明的探索,通識,通,2,"",三 6-7,本部 誠102,陳昭揚,110,1,50,10,0,"",GU,""
41,04UG012,0961,認識臺灣的原住民,通識,通,2,"",四 3-4,本部 誠108,陳永龍,110,1,50,10,5,"",GU,""
42,04UG013,0962,臺灣歷史與電影,通識,通,2,"",五 3-4,本部 誠101,陳佳宏,110,1,100,0,0,"",GU,電影相關課程限修人數上限100人，不開放授權碼。
43,04UG015,0963,臺灣歷史與文化,通識,通,2,"",四 3-4,本部 誠202,陳志豪,110,1,50,10,0,"",GU,""
44,04UG023,0964,２０世紀動盪時局下的知識份子,通識,通,2,"",四 9-10,本部 正301,胡元玲,110,1,50,0,0,"",GU,""
